ciemne,jasne,jasne+,ciemne+,ciemne+ciemne/2,jasne+jasne/2
"22,57","22,38","15,36","15,17","18,87","18,87"
"22,18","21,96","15,81","15,56","18,87","18,885"
"21,72","21,46","16,29","16,04","18,88","18,875"
"21,19","20,88","16,96","16,66","18,925","18,92"
"20,43","19,9","17,94","17,35","18,89","18,92"
"18,86",<-środek,,,,
