"$x_{L,ciemne},~mm$","$x_{L,jasne},~mm$","$x_{R,ciemne},~mm$","$x_{R,jasne},~mm$","$r_{ciemne},~mm$","$r_{jasne},~mm$",$\sqrt{k}$,$\sqrt{k-\frac{1}{2}}$
"20,24","20,05","12,84","12,64","7,40","7,41","2,24","2,12"
"19,85","19,59","13,28","13,04","6,57","6,55","2,00","1,87"
"19,34","19,11","13,85","13,56","5,49","5,55","1,73","1,58"
"18,79","18,44","14,45","14,14","4,34","4,30","1,41","1,22"
"18,00","17,49","15,45","14,88","2,55","2,61","1,00","0,71"
