ciemne,jasne,jasne+,ciemne+,ciemne+ciemne/2,jasne+jasne/2
"21,44","21,29","15,07","14,9","18,17","18,18"
"21,2","21,05","15,46","15,25","18,225","18,255"
"20,79","20,55","15,85","15,66","18,225","18,2"
"20,37","20,08","16,35","16,07","18,22","18,215"
"19,7","19,18","17,11","16,69","18,195","18,145"
"18,18",<-środek,,,,
