ciemne,jasne,jasne+,ciemne+,ciemne+ciemne/2,jasne+jasne/2
"21,78","21,63","14,36","14,13","17,955","17,995"
"21,47","21,22","14,77","14,58","18,025","17,995"
"21,05","20,75","15,25","14,99","18,02",18
"20,38","20,1","15,83","15,51","17,945","17,965"
"19,75","19,36","16,6","16,18","17,965","17,98"
18,<-środek,,,,
