"$x_{L,ciemne},~mm$","$x_{L,jasne},~mm$","$x_{R,ciemne},~mm$","$x_{R,jasne},~mm$","$r_{ciemne},~mm$","$r_{jasne},~mm$",$\sqrt{k}$,$\sqrt{k-\frac{1}{2}}$
"21,44","21,29","15,07","14,90","6,37","6,39","2,24","2,12"
"21,20","21,05","15,46","15,25","5,74","5,80","2,00","1,87"
"20,79","20,55","15,85","15,66","4,94","4,89","1,73","1,58"
"20,37","20,08","16,35","16,07","4,02","4,01","1,41","1,22"
"19,70","19,18","17,11","16,69","2,59","2,49","1,00","0,71"
