ciemne,jasne,jasne+,ciemne+,ciemne+ciemne/2,jasne+jasne/2
"21,78","21,6","14,34","14,14","17,96","17,97"
"21,39","21,16","14,76","14,55","17,97","17,96"
"20,95","20,67","15,25","14,99","17,97","17,96"
"20,38","20,09","15,78","15,55","17,965","17,935"
"19,76","19,38","16,63","16,22","17,99","18,005"
"17,97",<-środek,,,,
