ciemne,jasne,jasne+,ciemne+,ciemne+ciemne/2,jasne+jasne/2
"21,32","21,14","14,76","14,58","17,95","17,95"
"20,99","20,79","15,1","14,91","17,95","17,945"
"20,59","20,36","15,56","15,31","17,95","17,96"
"20,11","19,85","16,12","15,83","17,97","17,985"
"19,52","19,11","16,95","16,44","17,98","18,03"
"17,98",<-środek,,,,
