"$x_{L,ciemne},~mm$","$x_{L,jasne},~mm$","$x_{R,ciemne},~mm$","$x_{R,jasne},~mm$","$r_{ciemne},~mm$","$r_{jasne},~mm$",$\sqrt{k}$,$\sqrt{k-\frac{1}{2}}$
"21,78","21,60","14,34","14,14","7,44","7,46","2,24","2,12"
"21,39","21,16","14,76","14,55","6,63","6,61","2,00","1,87"
"20,95","20,67","15,25","14,99","5,70","5,68","1,73","1,58"
"20,38","20,09","15,78","15,55","4,60","4,54","1,41","1,22"
"19,76","19,38","16,63","16,22","3,13","3,16","1,00","0,71"
