"$x_{L,ciemne},~mm$","$x_{L,jasne},~mm$","$x_{R,ciemne},~mm$","$x_{R,jasne},~mm$","$r_{ciemne},~mm$","$r_{jasne},~mm$",$\sqrt{k}$,$\sqrt{k-\frac{1}{2}}$
"21,78","21,63","14,36","14,13","7,42","7,50","2,24","2,12"
"21,47","21,22","14,77","14,58","6,70","6,64","2,00","1,87"
"21,05","20,75","15,25","14,99","5,80","5,76","1,73","1,58"
"20,38","20,10","15,83","15,51","4,55","4,59","1,41","1,22"
"19,75","19,36","16,60","16,18","3,15","3,18","1,00","0,71"
