ciemne,jasne,jasne+,ciemne+,ciemne+ciemne/2,jasne+jasne/2
"21,91","21,74","14,21","14,04","17,975","17,975"
"21,54","21,33","14,64","14,42","17,98","17,985"
"21,11","20,83","15,12","14,89",18,"17,975"
"20,6","20,29","15,69","15,4",18,"17,99"
"19,86","19,46","16,51","16,08","17,97","17,985"
"17,99",<-środek,,,,
