"$x_{L,ciemne},~mm$","$x_{L,jasne},~mm$","$x_{R,ciemne},~mm$","$x_{R,jasne},~mm$","$r_{ciemne},~mm$","$r_{jasne},~mm$",$\sqrt{k}$,$\sqrt{k-\frac{1}{2}}$
"21,32","21,14","14,76","14,58","6,56","6,56","2,24","2,12"
"20,99","20,79","15,10","14,91","5,89","5,88","2,00","1,87"
"20,59","20,36","15,56","15,31","5,03","5,05","1,73","1,58"
"20,11","19,85","16,12","15,83","3,99","4,02","1,41","1,22"
"19,52","19,11","16,95","16,44","2,57","2,67","1,00","0,71"
