b	R
19,5	7
19,6	14
19,7	5
19,8	5
19,9	4
20,0	8
20,1	10
20,2	7
20,3	15
20,4	6
20,5	13
20,6	10
20,7	9
20,8	9
20,9	17
21,0	18
21,1	16
21,2	11
21,3	24
21,4	17
21,5	32
21,6	26
21,7	27
21,8	41
21,9	47
22,0	61
22,1	65
22,2	99
22,3	156
22,4	284
22,5	544
22,6	2128
22,7	2820
22,8	1599
22,9	578
23,0	197
23,1	118
23,2	66
23,3	63
23,4	50
23,5	36
23,6	40
23,7	31
23,8	17
23,9	22
24,0	24
24,1	18
24,2	13
24,3	16
24,4	12
24,5	11
24,6	5
24,7	10
24,8	8
24,9	8
25,0	7
25,1	13
25,2	10
25,3	6
25,4	6
25,5	11
