b	R
47,32	17
47,33	6
47,34	6
47,35	15
47,36	8
47,37	12
47,38	9
47,39	6
47,40	9
47,41	15
47,42	7
47,43	11
47,44	11
47,45	13
47,46	6
47,47	13
47,48	13
47,49	12
47,50	11
47,51	7
47,52	9
47,53	6
47,54	6
47,55	9
47,56	7
47,57	6
47,58	16
47,59	4
47,60	8
47,61	14
47,62	10
47,63	17
47,64	13
47,65	11
47,66	13
47,67	6
47,68	13
47,69	11
47,70	5
47,71	8
47,72	10
47,73	9
47,74	8
47,75	10
47,76	11
47,77	8
47,78	12
47,79	14
47,80	2
47,81	6
47,82	6
47,83	16
47,84	13
47,85	13
47,86	7
47,87	7
47,88	3
47,89	6
47,90	8
47,91	10
47,92	9
47,93	6
47,94	15
47,95	9
47,96	12
47,97	13
47,98	8
47,99	4
48,00	8
48,01	11
48,02	4
48,03	15
48,04	10
48,05	10
48,06	10
48,07	9
48,08	6
48,09	11
48,10	4
48,11	8
48,12	11
48,13	5
48,14	11
48,15	9
48,16	9
48,17	12
48,18	5
48,19	10
48,20	12
48,21	12
48,22	10
48,23	5
48,24	11
48,25	8
48,26	8
48,27	9
48,28	15
48,29	6
48,30	6
48,31	4
48,32	7
48,33	12
48,34	12
48,35	6
48,36	9
48,37	3
48,38	7
48,39	10
48,40	11
48,41	11
48,42	10
48,43	9
48,44	4
48,45	12
48,46	10
48,47	13
48,48	7
48,49	12
48,50	10
48,51	5
48,52	5
48,53	3
48,54	9
48,55	9
48,56	5
48,57	6
48,58	4
48,59	17
48,60	11
48,61	12
48,62	7
48,63	9
48,64	13
48,65	8
48,66	6
48,67	12
48,68	15
48,69	11
48,70	10
48,71	5
48,72	14
48,73	7
48,74	11
48,75	8
48,76	15
48,77	7
48,78	14
48,79	5
48,80	8
48,81	10
48,82	8
48,83	10
48,84	11
48,85	14
48,86	6
48,87	13
48,88	13
48,89	13
48,90	7
48,91	8
48,92	10
48,93	9
48,94	9
48,95	11
48,96	8
48,97	7
48,98	14
48,99	12
49,00	9
49,01	9
49,02	7
49,03	11
49,04	8
49,05	9
49,06	15
49,07	17
49,08	11
49,09	12
49,10	15
49,11	4
49,12	6
49,13	12
49,14	11
49,15	13
49,16	13
49,17	9
49,18	15
49,19	9
49,20	14
49,21	9
49,22	14
49,23	11
49,24	12
49,25	17
49,26	13
49,27	17
49,28	15
49,29	6
49,30	21
49,31	18
49,32	17
49,33	18
49,34	7
49,35	15
49,36	22
49,37	9
49,38	11
49,39	19
49,40	22
49,41	14
49,42	10
49,43	10
49,44	21
49,45	9
49,46	17
49,47	17
49,48	15
49,49	15
49,50	21
49,51	29
49,52	18
49,53	17
49,54	26
49,55	23
49,56	25
49,57	24
49,58	30
49,59	26
49,60	44
49,61	38
49,62	33
49,63	53
49,64	49
49,65	54
49,66	54
49,67	51
49,68	36
49,69	67
49,70	50
49,71	60
49,72	53
49,73	62
49,74	59
49,75	73
49,76	59
49,77	75
49,78	92
49,79	76
49,80	90
49,81	102
49,82	120
49,83	193
49,84	266
49,85	343
49,86	486
49,87	679
49,88	906
49,89	1039
49,90	1385
49,91	1566
49,92	1798
49,93	1897
49,94	1987
49,95	1952
49,96	1854
49,97	1778
49,98	1574
49,99	1385
50,00	1171
